10?DFJSP10
20 15 3
Operations vector:
12 13 11
11 14  11 14 13
164 8 3.6
79.3 0.6
0.5
158 10  4.5 79.3  0.6 0.5
76 11 4.95
79.3 0.6
0.5
139 6 2.7
63.8 0.7
0.8
136 6 2.7
63.8 0.7
0.8
79 6 2.7
63.8 0.7
0.8
118 7 3.15
65.3 0.8
0.8
99 7 3.15
65.3 0.8
0.8
90 8 3.6
65.3 0.8
0.8
101 6 2.7
57.1 0.8
0.7
87 7 3.15
57.1 0.8
0.7
63 8 3.6
57.1 0.8
0.7
177 5 2.25
64 0.7  0.7
107 5 2.25
64 0.7  0.7
97 5 2.25
64 0.7  0.7
161 5 2.25
75.4 0.5
0.5
128 6 2.7
75.4 0.5
0.5
124 7 3.15
75.4 0.5
0.5
197 8 3.6
73.5 0.5
0.7
171 11  4.95 73.5  0.5 0.7
95 12 5.4
73.5 0.5
0.7
189 13  5.85 73.4  0.9 0.7
149 13  5.85 73.4  0.9 0.7
50 13 5.85
73.4 0.9
0.7
187 5 2.25
53.3 0.9
0.6
165 7 3.15
53.3 0.9
0.6
73 9 4.05
53.3 0.9
0.6
186 10  4.5 57.3  0.7 0.6
176 10  4.5 57.3  0.7 0.6
166 11  4.95 57.3  0.7 0.6
145 10  4.5 78.3  0.6 0.9
126 11  4.95 78.3  0.6 0.9
84 11 4.95
78.3 0.6
0.9
146 15  6.75 54.6  0.5 0.7
134 15  6.75 54.6  0.5 0.7
103 17  7.65 54.6  0.5 0.7
149 8 3.6
71 0.6  0.7
109 9 4.05
71 0.6  0.7
56 10 4.5
71 0.6  0.7
183 16  7.2 74.5  0.7 0.6
156 17  7.65 74.5  0.7 0.6
93 18 8.1
74.5 0.7
0.6
166 8 3.6
76.6 0.7
0.9
68 9 4.05
76.6 0.7
0.9
62 10 4.5
76.6 0.7
0.9
171 5 2.25
73.5 0.5
0.7
153 5 2.25
73.5 0.5
0.7
101 7 3.15
73.5 0.5
0.7
194 4 1.8
55.7 0.7
0.8
132 5 2.25
55.7 0.7
0.8
53 7 3.15
55.7 0.7
0.8
117 9 4.05
55.3 0.6
0.6
77 10 4.5
55.3 0.6
0.6
58 10 4.5
55.3 0.6
0.6
169 10  4.5 55.6  0.6 0.6
88 11 4.95
55.6 0.6
0.6
75 12 5.4
55.6 0.6
0.6
155 11  4.95 61  0.8 0.8
110 12  5.4 61  0.8 0.8
64 13 5.85
61 0.8  0.8
109 13  5.85 60.5  0.6 0.6
106 15  6.75 60.5  0.6 0.6
65 15 6.75
60.5 0.6
0.6
186 11  4.95 58.9  0.6 0.8
111 11  4.95 58.9  0.6 0.8
101 12  5.4 58.9  0.6 0.8
155 10  4.5 51.7  0.8 0.8
84 11 4.95
51.7 0.8
0.8
64 11 4.95
51.7 0.8
0.8
180 15  6.75 75.5  0.5 0.6
120 15  6.75 75.5  0.5 0.6
83 17 7.65
75.5 0.5
0.6
178 12  5.4 77.9  0.7 0.8
110 14  6.3 77.9  0.7 0.8
78 16 7.2
77.9 0.7
0.8
173 11  4.95 57.7  0.6 0.5
163 12  5.4 57.7  0.6 0.5
139 14  6.3 57.7  0.6 0.5
150 8 3.6
59.6 0.6
0.8
102 8 3.6
59.6 0.6
0.8
74 9 4.05
59.6 0.6
0.8
198 5 2.25
69.1 0.8
0.9
165 6 2.7
69.1 0.8
0.9
125 6 2.7
69.1 0.8
0.9
197 11  4.95 77.2  0.7 0.7
129 11  4.95 77.2  0.7 0.7
57 11 4.95
77.2 0.7
0.7
197 18  8.1 50.4  0.5 0.6
105 18  8.1 50.4  0.5 0.6
85 20 9
50.4 0.5
0.6
182 14  6.3 53.4  0.7 0.6
131 17  7.65 53.4  0.7 0.6
130 17  7.65 53.4  0.7 0.6
179 7 3.15
52.2 0.6
0.7
125 8 3.6
52.2 0.6
0.7
123 8 3.6
52.2 0.6
0.7
187 13  5.85 54.1  0.8 0.6
185 13  5.85 54.1  0.8 0.6
82 15 6.75
54.1 0.8
0.6
197 19  8.55 71.5  0.7 0.6
141 20  9 71.5  0.7 0.6
117 20  9 71.5  0.7 0.6
168 5 2.25
75.5 0.8
0.9
148 6 2.7
75.5 0.8
0.9
74 9 4.05
75.5 0.8
0.9
98 12 5.4
77.2 0.7
0.8
79 13 5.85
77.2 0.7
0.8
62 13 5.85
77.2 0.7
0.8
162 7 3.15
72 0.6  0.8
159 7 3.15
72 0.6  0.8
114 8 3.6
72 0.6  0.8
183 16  7.2 72.7  0.9 0.5
135 17  7.65 72.7  0.9 0.5
66 19 8.55
72.7 0.9
0.5
142 9 4.05
60.2 0.6
0.6
109 11  4.95 60.2  0.6 0.6
63 11 4.95
60.2 0.6
0.6
176 10  4.5 63.4  0.9 0.8
118 10  4.5 63.4  0.9 0.8
105 12  5.4 63.4  0.9 0.8
139 6 2.7
69.2 0.6
0.7
127 8 3.6
69.2 0.6
0.7
108 9 4.05
69.2 0.6
0.7
163 15  6.75 60.1  0.5 0.7
116 16  7.2 60.1  0.5 0.7
106 17  7.65 60.1  0.5 0.7
112 5 2.25
50.2 0.6
0.8
104 6 2.7
50.2 0.6
0.8
92 6 2.7
50.2 0.6
0.8
113 9 4.05
52.4 0.6
0.5
68 9 4.05
52.4 0.6
0.5
57 11 4.95
52.4 0.6
0.5
186 15  6.75 52.4  0.6 0.7
129 17  7.65 52.4  0.6 0.7
128 18  8.1 52.4  0.6 0.7
157 8 3.6
78.3 0.9
0.7
143 9 4.05
78.3 0.9
0.7
122 9 4.05
78.3 0.9
0.7
154 5 2.25
74.2 0.7
0.5
107 5 2.25
74.2 0.7
0.5
91 6 2.7
74.2 0.7
0.5
175 9 4.05
75 0.9  0.8
122 11  4.95 75  0.9 0.8
112 11  4.95 75  0.9 0.8
118 10  4.5 50.4  0.6 0.6
107 10  4.5 50.4  0.6 0.6
96 11 4.95
50.4 0.6
0.6
85 11 4.95
57.2 0.6
0.6
83 12 5.4
57.2 0.6
0.6
81 13 5.85
57.2 0.6
0.6
198 9 4.05
78.1 0.8
0.8
148 9 4.05
78.1 0.8
0.8
125 10  4.5 78.1  0.8 0.8
117 3 1.35
67.8 0.7
0.7
111 5 2.25
67.8 0.7
0.7
85 5 2.25
67.8 0.7
0.7
150 11  4.95 62.3  0.5 0.8
65 11 4.95
62.3 0.5
0.8
61 11 4.95
62.3 0.5
0.8
141 9 4.05
76.3 0.6
0.7
108 9 4.05
76.3 0.6
0.7
74 10 4.5
76.3 0.6
0.7
174 11  4.95 71.8  0.7 0.8
157 11  4.95 71.8  0.7 0.8
131 11  4.95 71.8  0.7 0.8
195 6 2.7
64.6 0.5
0.6
159 8 3.6
64.6 0.5
0.6
157 8 3.6
64.6 0.5
0.6
181 8 3.6
77.6 0.7
0.7
60 8 3.6
77.6 0.7
0.7
52 10 4.5
77.6 0.7
0.7
169 3 1.35
55.6 0.7
0.7
122 5 2.25
55.6 0.7
0.7
94 6 2.7
55.6 0.7
0.7
161 3 1.35
77.4 0.9
0.9
128 5 2.25
77.4 0.9
0.9
64 6 2.7
77.4 0.9
0.9
180 5 2.25
79.7 0.7
0.6
144 5 2.25
79.7 0.7
0.6
117 7 3.15
79.7 0.7
0.6
163 11  4.95 75.8  0.8 0.8
98 11 4.95
75.8 0.8
0.8
89 12 5.4
75.8 0.8
0.8
164 12  5.4 56.8  0.8 0.5
147 12  5.4 56.8  0.8 0.5
82 13 5.85
56.8 0.8
0.5
181 7 3.15
70.7 0.5
0.5
114 8 3.6
70.7 0.5
0.5
91 10 4.5
70.7 0.5
0.5
113 9 4.05
75.8 0.7
0.6
78 10 4.5
75.8 0.7
0.6
56 11 4.95
75.8 0.7
0.6
178 4 1.8
57.7 0.8
0.9
100 6 2.7
57.7 0.8
0.9
82 6 2.7
57.7 0.8
0.9
181 18  8.1 73.9  0.6 0.5
176 19  8.55 73.9  0.6 0.5
62 19 8.55
73.9 0.6
0.5
166 16  7.2 74.6  0.6 0.7
136 17  7.65 74.6  0.6 0.7
105 19  8.55 74.6  0.6 0.7
188 8 3.6
78.3 0.6
0.7
143 8 3.6
78.3 0.6
0.7
78 9 4.05
78.3 0.6
0.7
141 12  5.4 66.4  0.9 0.7
71 13 5.85
66.4 0.9
0.7
54 15 6.75
66.4 0.9
0.7
188 19  8.55 75.7  0.7 0.8
174 20  9 75.7  0.7 0.8
138 21  9.45 75.7  0.7 0.8
198 17  7.65 54.8  0.7 0.6
196 18  8.1 54.8  0.7 0.6
56 21 9.45
54.8 0.7
0.6
177 9 4.05
65.7 0.5
0.6
140 10  4.5 65.7  0.5 0.6
72 10 4.5
65.7 0.5
0.6
146 8 3.6
56.9 0.7
0.6
84 10 4.5
56.9 0.7
0.6
70 11 4.95
56.9 0.7
0.6
165 6 2.7
78.1 0.6
0.7
119 6 2.7
78.1 0.6
0.7
103 8 3.6
78.1 0.6
0.7
108 16  7.2 55.6  0.8 0.7
88 16 7.2
55.6 0.8
0.7
51 16 7.2
55.6 0.8
0.7
81 8 3.6
60 0.8  0.7
80 8 3.6
60 0.8  0.7
72 9 4.05
60 0.8  0.7
155 15  6.75 67.5  0.8 0.5
152 16  7.2 67.5  0.8 0.5
56 17 7.65
67.5 0.8
0.5
168 9 4.05
53.2 0.7
0.6
167 9 4.05
53.2 0.7
0.6
58 10 4.5
53.2 0.7
0.6
152 11  4.95 75.3  0.7 0.8
142 13  5.85 75.3  0.7 0.8
88 13 5.85
75.3 0.7
0.8
199 14  6.3 74.7  0.7 0.7
196 15  6.75 74.7  0.7 0.7
113 15  6.75 74.7  0.7 0.7
192 4 1.8
75.7 0.5
0.9
70 4 1.8
75.7 0.5
0.9
60 5 2.25
75.7 0.5
0.9
180 18  8.1 50.8  0.7 0.8
147 19  8.55 50.8  0.7 0.8
123 21  9.45 50.8  0.7 0.8
171 12  5.4 62.8  0.7 0.5
136 12  5.4 62.8  0.7 0.5
125 12  5.4 62.8  0.7 0.5
147 9 4.05
58 0.6  0.5
105 10  4.5 58  0.6 0.5
56 11 4.95
58 0.6  0.5
179 15  6.75 59.2  0.5 0.8
139 15  6.75 59.2  0.5 0.8
55 16 7.2
59.2 0.5
0.8
183 13  5.85 64  0.7 0.7
127 14  6.3 64  0.7 0.7
117 15  6.75 64  0.7 0.7
179 19  8.55 63  0.8 0.5
158 19  8.55 63  0.8 0.5
80 21 9.45
63 0.8  0.5
125 15  6.75 56.4  0.6 0.7
97 16 7.2
56.4 0.6
0.7
85 17 7.65
56.4 0.6
0.7
195 8 3.6
70 0.5  0.7
190 8 3.6
70 0.5  0.7
53 9 4.05
70 0.5  0.7
146 13  5.85 69.4  0.8 0.8
123 14  6.3 69.4  0.8 0.8
61 14 6.3
69.4 0.8
0.8
193 18  8.1 67.8  0.5 0.9
170 19  8.55 67.8  0.5 0.9
69 21 9.45
67.8 0.5
0.9
196 13  5.85 54.9  0.8 0.8
117 15  6.75 54.9  0.8 0.8
92 16 7.2
54.9 0.8
0.8
199 4 1.8
69.3 0.7
0.9
100 5 2.25
69.3 0.7
0.9
100 6 2.7
69.3 0.7
0.9
168 9 4.05
58.2 0.8
0.7
96 9 4.05
58.2 0.8
0.7
78 9 4.05
58.2 0.8
0.7
173 4 1.8
74.3 0.8
0.6
105 5 2.25
74.3 0.8
0.6
93 5 2.25
74.3 0.8
0.6
110 9 4.05
67.9 0.7
0.5
89 10 4.5
67.9 0.7
0.5
78 12 5.4
67.9 0.7
0.5
144 10  4.5 66.8  0.6 0.8
129 11  4.95 66.8  0.6 0.8
71 11 4.95
66.8 0.6
0.8
175 16  7.2 69.8  0.5 0.9
148 17  7.65 69.8  0.5 0.9
117 17  7.65 69.8  0.5 0.9
151 6 2.7
60.2 0.8
0.6
116 7 3.15
60.2 0.8
0.6
98 8 3.6
60.2 0.8
0.6
145 9 4.05
64.2 0.8
0.6
117 11  4.95 64.2  0.8 0.6
69 12 5.4
64.2 0.8
0.6
124 17  7.65 55  0.8 0.8
72 17 7.65
55 0.8  0.8
62 17 7.65
55 0.8  0.8
198 10  4.5 52  0.6 0.9
194 11  4.95 52  0.6 0.9
131 11  4.95 52  0.6 0.9
193 11  4.95 64.2  0.6 0.7
111 12  5.4 64.2  0.6 0.7
57 14 6.3
64.2 0.6
0.7
121 5 2.25
69.8 0.8
0.6
116 5 2.25
69.8 0.8
0.6
102 6 2.7
69.8 0.8
0.6
114 17  7.65 52.7  0.6 0.8
81 19 8.55
52.7 0.6
0.8
51 20 9
52.7 0.6
0.8
157 5 2.25
75.5 0.7
0.6
151 6 2.7
75.5 0.7
0.6
71 8 3.6
75.5 0.7
0.6
187 11  4.95 72.3  0.5 0.6
141 12  5.4 72.3  0.5 0.6
54 14 6.3
72.3 0.5
0.6
170 9 4.05
62.2 0.9
0.5
156 10  4.5 62.2  0.9 0.5
99 10 4.5
62.2 0.9
0.5
145 18  8.1 71.6  0.8 0.5
90 18 8.1
71.6 0.8
0.5
56 19 8.55
71.6 0.8
0.5
161 9 4.05
62.7 0.9
0.7
124 10  4.5 62.7  0.9 0.7
106 10  4.5 62.7  0.9 0.7
182 9 4.05
68 0.8  0.7
67 9 4.05
68 0.8  0.7
56 10 4.5
68 0.8  0.7
122 6 2.7
61.2 0.6
0.9
81 8 3.6
61.2 0.6
0.9
64 8 3.6
61.2 0.6
0.9
126 10  4.5 64.2  0.7 0.7
108 10  4.5 64.2  0.7 0.7
74 13 5.85
64.2 0.7
0.7
193 7 3.15
67.4 0.8
0.7
168 11  4.95 67.4  0.8 0.7
90 12 5.4
67.4 0.8
0.7
183 8 3.6
75.2 0.8
0.8
157 10  4.5 75.2  0.8 0.8
142 11  4.95 75.2  0.8 0.8
170 4 1.8
58.7 0.7
0.7
141 5 2.25
58.7 0.7
0.7
138 6 2.7
58.7 0.7
0.7
197 15  6.75 70  0.6 0.8
175 15  6.75 70  0.6 0.8
120 16  7.2 70  0.6 0.8
174 10  4.5 77.3  0.7 0.7
154 11  4.95 77.3  0.7 0.7
140 13  5.85 77.3  0.7 0.7
180 7 3.15
79.4 0.7
0.7
166 7 3.15
79.4 0.7
0.7
65 8 3.6
79.4 0.7
0.7
168 10  4.5 52.3  0.7 0.7
147 12  5.4 52.3  0.7 0.7
137 12  5.4 52.3  0.7 0.7
179 9 4.05
63.3 0.5
0.8
116 11  4.95 63.3  0.5 0.8
77 11 4.95
63.3 0.5
0.8
180 14  6.3 61  0.8 0.6
136 15  6.75 61  0.8 0.6
94 15 6.75
61 0.8  0.6
122 16  7.2 65.3  0.6 0.7
107 16  7.2 65.3  0.6 0.7
82 17 7.65
65.3 0.6
0.7
194 5 2.25
65.9 0.7
0.7
180 6 2.7
65.9 0.7
0.7
127 6 2.7
65.9 0.7
0.7
104 10  4.5 69.8  0.8 0.9
78 12 5.4
69.8 0.8
0.9
51 13 5.85
69.8 0.8
0.9
191 17  7.65 52.5  0.6 0.7
137 17  7.65 52.5  0.6 0.7
115 18  8.1 52.5  0.6 0.7
191 5 2.25
61.2 0.6
0.8
96 6 2.7
61.2 0.6
0.8
76 7 3.15
61.2 0.6
0.8
166 8 3.6
62.5 0.7
0.9
133 9 4.05
62.5 0.7
0.9
112 12  5.4 62.5  0.7 0.9
188 12  5.4 55  0.7 0.6
115 12  5.4 55  0.7 0.6
77 13 5.85
55 0.7  0.6
120 7 3.15
50.1 0.6
0.8
67 8 3.6
50.1 0.6
0.8
56 8 3.6
50.1 0.6
0.8
151 4 1.8
62.1 0.5
0.8
70 5 2.25
62.1 0.5
0.8
50 7 3.15
62.1 0.5
0.8
197 12  5.4 63.9  0.8 0.9
161 12  5.4 63.9  0.8 0.9
140 13  5.85 63.9  0.8 0.9
135 5 2.25
64.2 0.8
0.7
132 6 2.7
64.2 0.8
0.7
131 6 2.7
64.2 0.8
0.7
160 15  6.75 62.6  0.7 0.6
154 16  7.2 62.6  0.7 0.6
144 18  8.1 62.6  0.7 0.6
197 8 3.6
56 0.8  0.7
171 10  4.5 56  0.8 0.7
85 10 4.5
56 0.8  0.7
187 15  6.75 79.4  0.9 0.8
127 16  7.2 79.4  0.9 0.8
56 16 7.2
79.4 0.9
0.8
187 8 3.6
62.5 0.5
0.8
103 9 4.05
62.5 0.5
0.8
87 10 4.5
62.5 0.5
0.8
180 14  6.3 55.5  0.6 0.7
163 15  6.75 55.5  0.6 0.7
152 16  7.2 55.5  0.6 0.7
130 19  8.55 66.2  0.8 0.8
67 19 8.55
66.2 0.8
0.8
54 19 8.55
66.2 0.8
0.8
170 7 3.15
53.7 0.9
0.6
120 9 4.05
53.7 0.9
0.6
75 10 4.5
53.7 0.9
0.6
113 3 1.35
54.1 0.6
0.8
109 5 2.25
54.1 0.6
0.8
99 6 2.7
54.1 0.6
0.8
175 11  4.95 62.1  0.7 0.7
89 12 5.4
62.1 0.7
0.7
68 12 5.4
62.1 0.7
0.7
147 11  4.95 55.9  0.6 0.8
84 12 5.4
55.9 0.6
0.8
80 12 5.4
55.9 0.6
0.8
187 6 2.7
72.6 0.7
0.9
151 7 3.15
72.6 0.7
0.9
78 7 3.15
72.6 0.7
0.9
157 7 3.15
71.3 0.8
0.6
90 9 4.05
71.3 0.8
0.6
68 10 4.5
71.3 0.8
0.6
175 10  4.5 58.8  0.8 0.6
164 11  4.95 58.8  0.8 0.6
103 11  4.95 58.8  0.8 0.6
185 12  5.4 66.3  0.8 0.7
148 12  5.4 66.3  0.8 0.7
60 12 5.4
66.3 0.8
0.7
197 8 3.6
73.7 0.6
0.6
142 8 3.6
73.7 0.6
0.6
104 11  4.95 73.7  0.6 0.6
76 14 6.3
58.2 0.6
0.6
67 15 6.75
58.2 0.6
0.6
51 16 7.2
58.2 0.6
0.6
193 15  6.75 51.9  0.7 0.5
102 16  7.2 51.9  0.7 0.5
52 16 7.2
51.9 0.7
0.5
149 17  7.65 75.3  0.7 0.6
123 18  8.1 75.3  0.7 0.6
61 18 8.1
75.3 0.7
0.6
158 15  6.75 71.4  0.7 0.7
123 16  7.2 71.4  0.7 0.7
55 17 7.65
71.4 0.7
0.7
149 6 2.7
70.3 0.7
0.7
148 9 4.05
70.3 0.7
0.7
64 10 4.5
70.3 0.7
0.7
188 13  5.85 51.2  0.7 0.9
137 13  5.85 51.2  0.7 0.9
116 14  6.3 51.2  0.7 0.9
183 19  8.55 50.3  0.5 0.7
134 20  9 50.3  0.5 0.7
129 20  9 50.3  0.5 0.7
199 14  6.3 50.2  0.5 0.6
186 15  6.75 50.2  0.5 0.6
112 15  6.75 50.2  0.5 0.6
105 19  8.55 50.9  0.7 0.5
86 19 8.55
50.9 0.7
0.5
71 21 9.45
50.9 0.7
0.5
105 9 4.05
63.6 0.8
0.7
90 10 4.5
63.6 0.8
0.7
86 11 4.95
63.6 0.8
0.7
186 5 2.25
54.8 0.6
0.6
107 6 2.7
54.8 0.6
0.6
83 8 3.6
54.8 0.6
0.6
145 8 3.6
75.5 0.5
0.7
114 9 4.05
75.5 0.5
0.7
74 10 4.5
75.5 0.5
0.7
166 18  8.1 77.7  0.8 0.8
87 19 8.55
77.7 0.8
0.8
83 19 8.55
77.7 0.8
0.8
177 9 4.05
62.2 0.9
0.9
91 10 4.5
62.2 0.9
0.9
64 11 4.95
62.2 0.9
0.9
181 8 3.6
72.3 0.6
0.6
166 10  4.5 72.3  0.6 0.6
157 10  4.5 72.3  0.6 0.6
126 6 2.7
64.6 0.7
0.5
110 7 3.15
64.6 0.7
0.5
83 8 3.6
64.6 0.7
0.5
189 5 2.25
70 0.7  0.5
109 5 2.25
70 0.7  0.5
59 6 2.7
70 0.7  0.5
187 19  8.55 54.5  0.9 0.7
119 19  8.55 54.5  0.9 0.7
53 20 9
54.5 0.9
0.7
172 15  6.75 71.2  0.9 0.8
162 15  6.75 71.2  0.9 0.8
140 16  7.2 71.2  0.9 0.8
87 10 4.5
54.8 0.9
0.5
73 11 4.95
54.8 0.9
0.5
57 12 5.4
54.8 0.9
0.5
138 8 3.6
67.2 0.6
0.6
99 8 3.6
67.2 0.6
0.6
83 9 4.05
67.2 0.6
0.6
196 10  4.5 54.9  0.6 0.7
104 10  4.5 54.9  0.6 0.7
66 13 5.85
54.9 0.6
0.7
174 4 1.8
58.4 0.6
0.8
139 5 2.25
58.4 0.6
0.8
52 7 3.15
58.4 0.6
0.8
189 10  4.5 79.7  0.6 0.6
159 12  5.4 79.7  0.6 0.6
131 12  5.4 79.7  0.6 0.6
137 13  5.85 53.5  0.8 0.6
135 13  5.85 53.5  0.8 0.6
57 13 5.85
53.5 0.8
0.6
133 7 3.15
61.4 0.7
0.6
123 8 3.6
61.4 0.7
0.6
