9?DFJSP09
20 10 3
Operations vector:
12 13 11
11 14  11 14 13
62.7 0.7
0.7
88 7 3.15
61.2 0.9
0.8
61 7 3.15
61.2 0.9
0.8
59 8 3.6
61.2 0.9
0.8
146 13  5.85 70.2  0.7 0.5
144 14  6.3 70.2  0.7 0.5
120 15  6.75 70.2  0.7 0.5
139 12  5.4 50.1  0.8 0.7
64 12 5.4
50.1 0.8
0.7
53 12 5.4
50.1 0.8
0.7
184 14  6.3 68.1  0.8 0.9
174 14  6.3 68.1  0.8 0.9
149 15  6.75 68.1  0.8 0.9
184 7 3.15
73.7 0.6
0.6
183 8 3.6
73.7 0.6
0.6
52 8 3.6
73.7 0.6
0.6
124 10  4.5 53  0.5 0.6
78 11 4.95
53 0.5  0.6
67 11 4.95
53 0.5  0.6
192 5 2.25
72.9 0.9
0.6
156 6 2.7
72.9 0.9
0.6
56 6 2.7
72.9 0.9
0.6
199 13  5.85 60.4  0.6 0.9
163 16  7.2 60.4  0.6 0.9
80 16 7.2
60.4 0.6
0.9
177 7 3.15
56.9 0.9
0.6
128 7 3.15
56.9 0.9
0.6
114 8 3.6
56.9 0.9
0.6
104 19  8.55 56.7  0.7 0.6
93 20 9
56.7 0.7
0.6
88 20 9
56.7 0.7
0.6
189 15  6.75 55  0.6 0.8
162 15  6.75 55  0.6 0.8
83 16 7.2
55 0.6  0.8
168 9 4.05
66.7 0.7
0.9
95 9 4.05
66.7 0.7
0.9
58 11 4.95
66.7 0.7
0.9
164 11  4.95 73.4  0.6 0.9
159 12  5.4 73.4  0.6 0.9
128 12  5.4 73.4  0.6 0.9
196 9 4.05
76.8 0.8
0.7
175 9 4.05
76.8 0.8
0.7
81 9 4.05
76.8 0.8
0.7
190 9 4.05
72 0.8  0.6
176 11  4.95 72  0.8 0.6
135 11  4.95 72  0.8 0.6
186 17  7.65 64.5  0.6 0.7
178 18  8.1 64.5  0.6 0.7
170 18  8.1 64.5  0.6 0.7
174 11  4.95 79.6  0.7 0.6
126 11  4.95 79.6  0.7 0.6
91 13 5.85
79.6 0.7
0.6
96 6 2.7
56.4 0.6
0.8
84 6 2.7
56.4 0.6
0.8
83 6 2.7
56.4 0.6
0.8
134 15  6.75 57.1  0.6 0.9
118 15  6.75 57.1  0.6 0.9
83 17 7.65
57.1 0.6
0.9
199 16  7.2 56.6  0.6 0.8
174 16  7.2 56.6  0.6 0.8
115 17  7.65 56.6  0.6 0.8
186 10  4.5 76  0.7 0.8
148 11  4.95 76  0.7 0.8
124 11  4.95 76  0.7 0.8
169 8 3.6
51.9 0.9
0.8
150 8 3.6
51.9 0.9
0.8
52 9 4.05
51.9 0.9
0.8
194 11  4.95 75.1  0.6 0.8
123 11  4.95 75.1  0.6 0.8
51 12 5.4
75.1 0.6
0.8
155 16  7.2 69.9  0.8 0.8
108 18  8.1 69.9  0.8 0.8
64 19 8.55
69.9 0.8
0.8
164 6 2.7
75.2 0.5
0.6
151 8 3.6
75.2 0.5
0.6
117 9 4.05
75.2 0.5
0.6
194 8 3.6
72.6 0.9
0.8
127 9 4.05
72.6 0.9
0.8
66 10 4.5
72.6 0.9
0.8
152 4 1.8
61.1 0.5
0.6
79 4 1.8
61.1 0.5
0.6
55 5 2.25
61.1 0.5
0.6
185 14  6.3 76.9  0.6 0.8
124 16  7.2 76.9  0.6 0.8
87 16 7.2
76.9 0.6
0.8
146 8 3.6
57.3 0.7
0.8
143 9 4.05
57.3 0.7
0.8
109 10  4.5 57.3  0.7 0.8
131 7 3.15
66.5 0.6
0.8
108 7 3.15
66.5 0.6
0.8
59 9 4.05
66.5 0.6
0.8
189 15  6.75 51.8  0.8 0.8
133 15  6.75 51.8  0.8 0.8
123 15  6.75 51.8  0.8 0.8
168 18  8.1 61.4  0.7 0.9
154 18  8.1 61.4  0.7 0.9
126 19  8.55 61.4  0.7 0.9
157 12  5.4 59.3  0.5 0.6
123 13  5.85 59.3  0.5 0.6
80 14 6.3
59.3 0.5
0.6
186 7 3.15
55.2 0.5
0.6
166 9 4.05
55.2 0.5
0.6
58 11 4.95
55.2 0.5
0.6
149 6 2.7
72.2 0.6
0.5
121 6 2.7
72.2 0.6
0.5
114 6 2.7
72.2 0.6
0.5
180 16  7.2 62.5  0.6 0.7
118 16  7.2 62.5  0.6 0.7
72 16 7.2
62.5 0.6
0.7
161 8 3.6
67.7 0.9
0.8
144 9 4.05
67.7 0.9
0.8
63 10 4.5
67.7 0.9
0.8
165 14  6.3 73.2  0.6 0.8
69 15 6.75
73.2 0.6
0.8
65 16 7.2
73.2 0.6
0.8
182 9 4.05
57 0.6  0.5
152 10  4.5 57  0.6 0.5
143 12  5.4 57  0.6 0.5
197 16  7.2 54.5  0.6 0.8
149 16  7.2 54.5  0.6 0.8
99 17 7.65
54.5 0.6
0.8
144 6 2.7
56 0.7  0.5
124 8 3.6
56 0.7  0.5
101 8 3.6
56 0.7  0.5
182 19  8.55 56.4  0.5 0.7
171 19  8.55 56.4  0.5 0.7
80 20 9
56.4 0.5
0.7
192 10  4.5 60.6  0.8 0.7
170 10  4.5 60.6  0.8 0.7
158 11  4.95 60.6  0.8 0.7
154 11  4.95 75.6  0.7 0.7
134 12  5.4 75.6  0.7 0.7
55 12 5.4
75.6 0.7
0.7
169 5 2.25
77 0.6  0.8
125 6 2.7
77 0.6  0.8
76 7 3.15
77 0.6  0.8
182 15  6.75 51.9  0.7 0.6
115 15  6.75 51.9  0.7 0.6
52 16 7.2
51.9 0.7
0.6
169 11  4.95 59.4  0.7 0.9
136 12  5.4 59.4  0.7 0.9
71 13 5.85
59.4 0.7
0.9
182 14  6.3 72.4  0.7 0.7
147 14  6.3 72.4  0.7 0.7
79 15 6.75
72.4 0.7
0.7
133 8 3.6
72.4 0.9
0.7
109 8 3.6
72.4 0.9
0.7
109 9 4.05
72.4 0.9
0.7
173 14  6.3 55.9  0.9 0.7
168 14  6.3 55.9  0.9 0.7
165 15  6.75 55.9  0.9 0.7
118 11  4.95 77.2  0.6 0.6
113 12  5.4 77.2  0.6 0.6
51 12 5.4
77.2 0.6
0.6
193 13  5.85 54.7  0.7 0.8
147 15  6.75 54.7  0.7 0.8
118 16  7.2 54.7  0.7 0.8
140 5 2.25
59.4 0.9
0.6
75 7 3.15
59.4 0.9
0.6
51 8 3.6
59.4 0.9
0.6
140 18  8.1 61.7  0.8 0.5
102 19  8.55 61.7  0.8 0.5
65 20 9
61.7 0.8
0.5
155 6 2.7
50.3 0.8
0.8
133 7 3.15
50.3 0.8
0.8
118 8 3.6
50.3 0.8
0.8
177 9 4.05
74.5 0.7
0.6
163 10  4.5 74.5  0.7 0.6
103 12  5.4 74.5  0.7 0.6
167 13  5.85 54.3  0.8 0.8
159 15  6.75 54.3  0.8 0.8
124 19  8.55 54.3  0.8 0.8
193 14  6.3 51.1  0.5 0.6
175 15  6.75 51.1  0.5 0.6
157 15  6.75 51.1  0.5 0.6
156 13  5.85 66.2  0.6 0.6
65 13 5.85
66.2 0.6
0.6
61 15 6.75
66.2 0.6
0.6
199 15  6.75 55.5  0.8 0.6
173 15  6.75 55.5  0.8 0.6
161 15  6.75 55.5  0.8 0.6
189 17  7.65 61.3  0.6 0.7
108 17  7.65 61.3  0.6 0.7
101 18  8.1 61.3  0.6 0.7
119 15  6.75 71.2  0.6 0.9
76 16 7.2
71.2 0.6
0.9
62 16 7.2
71.2 0.6
0.9
157 11  4.95 56.6  0.6 0.9
109 11  4.95 56.6  0.6 0.9
94 12 5.4
56.6 0.6
0.9
175 7 3.15
56.9 0.6
0.9
159 7 3.15
56.9 0.6
0.9
55 8 3.6
56.9 0.6
0.9
181 17  7.65 71.5  0.8 0.7
87 18 8.1
71.5 0.8
0.7
76 19 8.55
71.5 0.8
0.7
174 8 3.6
79 0.7  0.8
124 8 3.6
79 0.7  0.8
97 9 4.05
79 0.7  0.8
166 5 2.25
60.4 0.9
0.9
153 5 2.25
60.4 0.9
0.9
111 7 3.15
60.4 0.9
0.9
193 11  4.95 56.4  0.7 0.8
137 15  6.75 56.4  0.7 0.8
85 15 6.75
56.4 0.7
0.8
197 4 1.8
56.6 0.7
0.8
122 5 2.25
56.6 0.7
0.8
98 6 2.7
56.6 0.7
0.8
122 14  6.3 75.2  0.8 0.7
89 15 6.75
75.2 0.8
0.7
68 16 7.2
75.2 0.8
0.7
166 15  6.75 73.3  0.6 0.6
116 15  6.75 73.3  0.6 0.6
107 16  7.2 73.3  0.6 0.6
118 9 4.05
66.7 0.8
0.7
70 10 4.5
66.7 0.8
0.7
65 11 4.95
66.7 0.8
0.7
182 9 4.05
63.1 0.8
0.7
149 12  5.4 63.1  0.8 0.7
78 12 5.4
63.1 0.8
0.7
146 8 3.6
53.5 0.7
0.6
136 8 3.6
53.5 0.7
0.6
97 9 4.05
53.5 0.7
0.6
122 9 4.05
70.6 0.5
0.8
118 10  4.5 70.6  0.5 0.8
61 12 5.4
70.6 0.5
0.8
185 16  7.2 75.8  0.7 0.7
79 17 7.65
75.8 0.7
0.7
57 18 8.1
75.8 0.7
0.7
182 15  6.75 67  0.7 0.6
178 16  7.2 67  0.7 0.6
69 16 7.2
67 0.7  0.6
128 8 3.6
52.5 0.6
0.5
69 10 4.5
52.5 0.6
0.5
68 10 4.5
52.5 0.6
0.5
183 6 2.7
62 0.7  0.5
109 7 3.15
62 0.7  0.5
108 9 4.05
62 0.7  0.5
149 4 1.8
77.9 0.6
0.8
81 4 1.8
77.9 0.6
0.8
56 6 2.7
77.9 0.6
0.8
198 12  5.4 76  0.5 0.6
192 12  5.4 76  0.5 0.6
165 13  5.85 76  0.5 0.6
181 4 1.8
55 0.6  0.7
147 5 2.25
55 0.6  0.7
56 5 2.25
55 0.6  0.7
142 13  5.85 67.8  0.7 0.8
139 15  6.75 67.8  0.7 0.8
110 16  7.2 67.8  0.7 0.8
180 10  4.5 60.2  0.6 0.5
177 12  5.4 60.2  0.6 0.5
88 12 5.4
60.2 0.6
0.5
135 5 2.25
53.1 0.5
0.5
71 7 3.15
53.1 0.5
0.5
67 7 3.15
53.1 0.5
0.5
117 17  7.65 62  0.6 0.6
111 18  8.1 62  0.6 0.6
84 19 8.55
62 0.6  0.6
190 15  6.75 58.3  0.9 0.6
171 15  6.75 58.3  0.9 0.6
121 17  7.65 58.3  0.9 0.6
183 17  7.65 71.5  0.5 0.7
179 17  7.65 71.5  0.5 0.7
89 19 8.55
71.5 0.5
0.7
169 6 2.7
79.2 0.8
0.6
134 7 3.15
79.2 0.8
0.6
63 9 4.05
79.2 0.8
0.6
149 9 4.05
62.2 0.7
0.5
120 10  4.5 62.2  0.7 0.5
107 11  4.95 62.2  0.7 0.5
188 4 1.8
55.9 0.8
0.6
184 6 2.7
55.9 0.8
0.6
74 6 2.7
55.9 0.8
0.6
190 15  6.75 50.4  0.6 0.8
173 15  6.75 50.4  0.6 0.8
52 16 7.2
50.4 0.6
0.8
77 14 6.3
56.2 0.5
0.7
68 15 6.75
56.2 0.5
0.7
62 16 7.2
56.2 0.5
0.7
156 11  4.95 67.8  0.8 0.5
121 12  5.4 67.8  0.8 0.5
73 13 5.85
67.8 0.8
0.5
133 4 1.8
58.4 0.7
0.8
88 7 3.15
58.4 0.7
0.8
87 8 3.6
58.4 0.7
0.8
178 4 1.8
77.8 0.7
0.5
157 5 2.25
77.8 0.7
0.5
144 6 2.7
77.8 0.7
0.5
182 10  4.5 60.2  0.9 0.7
165 12  5.4 60.2  0.9 0.7
77 12 5.4
60.2 0.9
0.7
189 14  6.3 65.6  0.6 0.6
136 14  6.3 65.6  0.6 0.6
79 14 6.3
65.6 0.6
0.6
177 9 4.05
73 0.6  0.6
152 10  4.5 73  0.6 0.6
140 11  4.95 73  0.6 0.6
189 4 1.8
70.4 0.8
0.9
175 6 2.7
70.4 0.8
0.9
115 8 3.6
70.4 0.8
0.9
149 15  6.75 51.5  0.6 0.9
132 16  7.2 51.5  0.6 0.9
80 17 7.65
51.5 0.6
0.9
174 8 3.6
79.5 0.5
0.8
148 8 3.6
79.5 0.5
0.8
67 10 4.5
79.5 0.5
0.8
182 13  5.85 52.8  0.7 0.8
162 15  6.75 52.8  0.7 0.8
93 15 6.75
52.8 0.7
0.8
139 9 4.05
78 0.6  0.8
118 9 4.05
78 0.6  0.8
113 11  4.95 78  0.6 0.8
197 7 3.15
69.5 0.9
0.6
190 9 4.05
69.5 0.9
0.6
150 10  4.5 69.5  0.9 0.6
121 8 3.6
68.1 0.7
0.8
108 8 3.6
68.1 0.7
0.8
72 10 4.5
68.1 0.7
0.8
192 7 3.15
60.9 0.5
0.6
159 8 3.6
60.9 0.5
0.6
53 10 4.5
60.9 0.5
0.6
141 13  5.85 64.7  0.6 0.9
109 16  7.2 64.7  0.6 0.9
80 16 7.2
64.7 0.6
0.9
124 10  4.5 64.6  0.6 0.9
118 12  5.4 64.6  0.6 0.9
55 12 5.4
64.6 0.6
0.9
197 15  6.75 53.5  0.8 0.8
101 16  7.2 53.5  0.8 0.8
68 16 7.2
53.5 0.8
0.8
189 7 3.15
63.4 0.6
0.7
182 8 3.6
63.4 0.6
0.7
77 8 3.6
63.4 0.6
0.7
169 17  7.65 79.5  0.6 0.5
162 19  8.55 79.5  0.6 0.5
55 23 10.35
79.5 0.6
0.5
181 5 2.25
55.9 0.7
0.7
95 6 2.7
55.9 0.7
0.7
84 6 2.7
55.9 0.7
0.7
194 10  4.5 65.7  0.8 0.5
155 11  4.95 65.7  0.8 0.5
111 12  5.4 65.7  0.8 0.5
198 12  5.4 68.6  0.6 0.7
156 12  5.4 68.6  0.6 0.7
81 13 5.85
68.6 0.6
0.7
140 8 3.6
79 0.8  0.5
100 10  4.5 79  0.8 0.5
75 11 4.95
79 0.8  0.5
120 15  6.75 57  0.8 0.6
104 16  7.2 57  0.8 0.6
66 16 7.2
57 0.8  0.6
185 17  7.65 73.5  0.7 0.8
111 18  8.1 73.5  0.7 0.8
72 20 9
73.5 0.7
0.8
152 11  4.95 68.4  0.6 0.8
145 11  4.95 68.4  0.6 0.8
119 12  5.4 68.4  0.6 0.8
183 13  5.85 75.8  0.7 0.8
100 13  5.85 75.8  0.7 0.8
82 14 6.3
75.8 0.7
0.8
157 8 3.6
76.4 0.5
0.5
94 8 3.6
76.4 0.5
0.5
78 10 4.5
76.4 0.5
0.5
194 6 2.7
70.5 0.5
0.7
124 6 2.7
70.5 0.5
0.7
113 8 3.6
70.5 0.5
0.7
196 15  6.75 74  0.7 0.7
118 16  7.2 74  0.7 0.7
56 17 7.65
74 0.7  0.7
115 9 4.05
59.7 0.9
0.7
93 9 4.05
59.7 0.9
0.7
60 9 4.05
59.7 0.9
0.7
181 13  5.85 77.9  0.6 0.6
145 14  6.3 77.9  0.6 0.6
132 15  6.75 77.9  0.6 0.6
155 8 3.6
67.4 0.7
0.6
132 9 4.05
67.4 0.7
0.6
92 10 4.5
67.4 0.7
0.6
198 16  7.2 58.6  0.7 0.8
149 16  7.2 58.6  0.7 0.8
110 16  7.2 58.6  0.7 0.8
162 12  5.4 78.2  0.5 0.5
157 13  5.85 78.2  0.5 0.5
106 13  5.85 78.2  0.5 0.5
177 5 2.25
73 0.8  0.6
164 6 2.7
73 0.8  0.6
139 6 2.7
73 0.8  0.6
141 8 3.6
70.8 0.8
0.6
99 8 3.6
70.8 0.8
0.6
87 10 4.5
70.8 0.8
0.6
190 10  4.5 76.1  0.6 0.6
133 10  4.5 76.1  0.6 0.6
93 10 4.5
76.1 0.6
0.6
193 3 1.35
57.2 0.9
0.8
72 4 1.8
57.2 0.9
0.8
54 6 2.7
57.2 0.9
0.8
193 15  6.75 63.7  0.7 0.6
142 15  6.75 63.7  0.7 0.6
70 15 6.75
63.7 0.7
0.6
72 6 2.7
50.1 0.7
0.7
55 7 3.15
50.1 0.7
0.7
53 8 3.6
50.1 0.7
0.7
157 9 4.05
69.2 0.7
0.8
150 11  4.95 69.2  0.7 0.8
94 11 4.95
69.2 0.7
0.8
149 15  6.75 57  0.7 0.8
142 16  7.2 57  0.7 0.8
54 16 7.2
57 0.7  0.8
175 14  6.3 56.9  0.6 0.8
175 15  6.75 56.9  0.6 0.8
149 17  7.65 56.9  0.6 0.8
168 13  5.85 57.1  0.6 0.7
92 14 6.3
57.1 0.6
0.7
83 15 6.75
57.1 0.6
0.7
189 16  7.2 53.8  0.8 0.6
182 17  7.65 53.8  0.8 0.6
51 18 8.1
53.8 0.8
0.6
193 8 3.6
53.9 0.7
0.9
186 9 4.05
53.9 0.7
0.9
134 10  4.5 53.9  0.7 0.9
194 8 3.6
68.1 0.7
0.8
127 8 3.6
68.1 0.7
0.8
54 11 4.95
68.1 0.7
0.8
107 15  6.75 72.5  0.6 0.8
105 16  7.2 72.5  0.6 0.8
50 17 7.65
72.5 0.6
0.8
118 8 3.6
71.8 0.6
0.9
102 9 4.05
71.8 0.6
0.9
76 10 4.5
71.8 0.6
0.9
161 4 1.8
52.2 0.8
0.8
160 5 2.25
52.2 0.8
0.8
83 5 2.25
52.2 0.8
0.8
166 11  4.95 60.7  0.8 0.9
119 12  5.4 60.7  0.8 0.9
84 13 5.85
60.7 0.8
0.9
138 12  5.4 68.5  0.6 0.8
132 12  5.4 68.5  0.6 0.8
118 13  5.85 68.5  0.6 0.8
167 10  4.5 77.7  0.7 0.8
160 10  4.5 77.7  0.7 0.8
132 11  4.95 77.7  0.7 0.8
187 4 1.8
64.9 0.7
0.5
180 5 2.25
64.9 0.7
0.5
175 5 2.25
64.9 0.7
0.5
148 11  4.95 75.9  0.8 0.6
106 11  4.95 75.9  0.8 0.6
103 11  4.95 75.9  0.8 0.6
194 5 2.25
72 0.7  0.5
176 5 2.25
72 0.7  0.5
84 6 2.7
72 0.7  0.5
189 6 2.7
56.4 0.6
0.7
168 6 2.7
56.4 0.6
0.7
163 7 3.15
56.4 0.6
0.7
199 16  7.2 71.1  0.6 0.6
153 16  7.2 71.1  0.6 0.6
104 17  7.65 71.1  0.6 0.6
129 8 3.6
77.8 0.6
0.5
102 8 3.6
77.8 0.6
0.5
65 11 4.95
77.8 0.6
0.5
185 12  5.4 57.5  0.6 0.7
160 13  5.85 57.5  0.6 0.7
68 14 6.3
57.5 0.6
0.7
171 9 4.05
76.2 0.8
0.6
145 9 4.05
76.2 0.8
0.6
130 10  4.5 76.2  0.8 0.6
136 5 2.25
59.3 0.8
0.5
131 6 2.7
59.3 0.8
0.5
126 7 3.15
59.3 0.8
0.5
156 10  4.5 69  0.7 0.7
115 11  4.95 69  0.7 0.7
113 12  5.4 69  0.7 0.7
187 15  6.75 67.8  0.9 0.8
146 16  7.2 67.8  0.9 0.8
133 18  8.1 67.8  0.9 0.8
197 15  6.75 70.1  0.9 0.7
138 16  7.2 70.1  0.9 0.7
86 17 7.65
70.1 0.9
0.7
77 19 8.55
74.4 0.8
0.6
58 19 8.55
74.4 0.8
0.6
56 20 9
74.4 0.8
0.6
181 8 3.6
58.5 0.6
0.5
170 8 3.6
58.5 0.6
0.5
52 9 4.05
58.5 0.6
0.5
171 14  6.3 75.9  0.6 0.9
99 15 6.75
75.9 0.6
0.9
99 15 6.75
75.9 0.6
0.9
105 12  5.4 77.3  0.5 0.5
63 12 5.4
77.3 0.5
0.5
57 13 5.85
77.3 0.5
0.5
119 16  7.2 65.9  0.6 0.6
57 18 8.1
65.9 0.6
0.6
56 18 8.1
65.9 0.6
0.6
155 8 3.6
69.6 0.6
0.5
137 8 3.6
69.6 0.6
0.5
124 9 4.05
69.6 0.6
0.5
141 9 4.05
59.8 0.8
0.8
137 9 4.05
59.8 0.8
0.8
80 11 4.95
59.8 0.8
0.8
129 4 1.8
62.4 0.6
0.5
92 5 2.25
62.4 0.6
0.5
64 7 3.15
62.4 0.6
0.5
199 15  6.75 74.4  0.8 0.7
176 16  7.2 74.4  0.8 0.7
93 16 7.2
74.4 0.8
0.7
138 14  6.3 70  0.9 0.6
72 15 6.75
70 0.9  0.6
53 16 7.2
70 0.9  0.6
182 10  4.5 72.3  0.8 0.9
171 12  5.4 72.3  0.8 0.9
122 12  5.4 72.3  0.8 0.9
129 7 3.15
72.2 0.9
0.8
94 7 3.15
72.2 0.9
0.8
62 8 3.6
72.2 0.9
0.8
182 15  6.75 54.3  0.7 0.7
94 16 7.2
54.3 0.7
0.7
70 17 7.65
54.3 0.7
0.7
145 15  6.75 79.6  0.7 0.9
79 16 7.2
79.6 0.7
0.9
59 16 7.2
79.6 0.7
0.9
186 18  8.1 57.6  0.7 0.6
162 18  8.1 57.6  0.7 0.6
